Marca;Modelo;Mediana_Preço
MATSUYAMA;PULVERIZADOR COSTAL MATSUYAMA 20 LITROS MANUAL COR AMARELO;199.0
MENEGOTTI;PULVERIZADOR BATERIA E MANUAL 20L COSTAL AGRICOLA MENEGOTTI;376.0
MENEGOTTI;PULVERIZADOR COSTAL MANUAL 20 LITROS MENEGOTTI PROFISSIONAL;202.0
MTX;PULVERIZADOR COSTAL MANUAL 647858 20 LITROS PALISAD;210.0
NAGANO;PULVERIZADOR BOMBA 20L COSTAL MANUAL AGRÍCOLA - NAGANO;179.0
PALISAD; BOMBA COSTAL PULVERIZADOR AGRICOLA MANUAL 20 LITROS PALISAD;239.0
PALISAD;BOMBA PULVERIZADOR DE VENENO COSTAL 20 LITROS MANUAL;153.0
PALISAD;PULVERIZADOR BORRIFADOR MANUAL COSTAL 5L PALISAD 647408;87.0
PALISAD;PULVERIZADOR COSTAL  MANUAL 20 LITROS  AGRÍCOLA JARDIM ;177.0
PALISAD;PULVERIZADOR COSTAL DE COMPRESSÃO MANUAL 7L - PALISAD;102.0
PALISAD;PULVERIZADOR COSTAL MANUAL  COMPRESSÃO AGRÍCOLA 20L PALISAD;184.0
PALISAD;PULVERIZADOR COSTAL PALISAD MANUAL PLÁSTICO 20L;211.0
PALISAD;PULVERIZADOR MANUAL PROFISSIONAL COSTAL 20 LITROS;184.0
STARFER; BOMBA COSTAL PULVERIZADOR AGRICOLA MANUAL 20 LITROS SATRFER;200.0
STARFER;PULVERIZADOR COSTAL 16 LITROS COMPRESSÃO MANUAL STARFER;209.0
STARFER;PULVERIZADOR COSTAL 20L 2 EM 1 ELÉTRICO E MANUAL STARFER;509.5
STARFER;PULVERIZADOR MANUAL COSTAL JARDINAGEM 12 LITROS STARFER;281.5
STARFER;PULVERIZADOR MANUAL STARFER 12 LITROS COSTAL RESISTENTE     ;219.0
STIHL;PULVERIZADOR COSTAL MANUAL 18 L STHIL SG 20;799.0
STIHL;PULVERIZADOR COSTAL MANUAL STIHL SG 20 L;736.0
STIHL;PULVERIZADOR MANUAL COSTAL STIHL SG 71 ORIGINAL;675.5
TEKNA;BOMBA ELÉTRICA COSTAL PULVERIZADOR 16L A BATERIA E MANUAL ;352.0
TEKNA;PULVERIZADOR BOMBA COSTAL ELÉTRICO E MANUAL 16 LITROS TEKNA;364.0
TEKNA;PULVERIZADOR COSTAL 16 LITROS MANUAL + BATERIA PROFISSIONAL;348.0
TEKNA;PULVERIZADOR COSTAL 16L TEKNA PC16MBTK À BATERIA E MANUAL;544.0
TEKNA;PULVERIZADOR COSTAL 2EM1 ELÉTRICO(BATERIA) MANUAL 16L ;342.0
TRAMONTINA;PULVERIZADOR COSTAL 20 LITROS À BATERIA E MANUAL TRAMONTINA;449.0
TRAMONTINA;PULVERIZADOR COSTAL A BATERIA 2 EM 1 TRAMONTINA 20L MANUAL;397.5
TRAMONTINA;PULVERIZADOR COSTAL MANUAL 12 LITROS 78620126 TRAMONTINA;261.0
TRAMONTINA;PULVERIZADOR COSTAL MANUAL 12 LITROS TRAMONTINA 78260/126;255.0
TRAMONTINA;PULVERIZADOR COSTAL MANUAL TRAMONTINA 16 L 78620/160;293.0
TRAMONTINA;PULVERIZADOR COSTAL TRAMONTINA MANUAL PLÁSTICO 20L BRANCO;290.0
TRAMONTINA;PULVERIZADOR MANUAL COSTAL 16 L  TRAMONTINA LEVE ORIGINAL ;477.0
TRAMONTINA;PULVERIZADOR MANUAL COSTAL CAPACIDADE 16 L  TRAMONTINA LEVE;207.0
TRAMONTINA;PULVERIZADOR PLASTICO COSTAL MANUAL DE 20 LITROS TRAMONTINA;265.0
TRAPP;PULVERIZADOR COSTAL 12L MANUAL DETETIZAÇÃO SX LK12C TRAPP;264.0
TRAPP;PULVERIZADOR COSTAL MANUAL C/ COMPRESSÃO PRÉVIA 20 LITROS;259.0
TRAPP;PULVERIZADOR MANUAL COSTAL 20 LITROS SX LK20C TRAPP;235.0
VONDER; PULVERIZADOR COSTAL MANUAL AGRÍCOLA VONDER 20 LITROS ;227.0
VONDER; VONDER PC020 BOMBA COSTAL PULVERIZADOR AGRICOLA MANUAL 20 LITROS ;189.0
VONDER;PULVERIZADOR 18L COSTAL MANUAL E BATERIA ELÉTRICO VONDER;629.0
VONDER;PULVERIZADOR AGRICOLA BOMBA COSTAL MANUAL JARDIM 12L;262.0
VONDER;PULVERIZADOR AGRÍCOLA COSTAL MANUAL PC020 - 20 LITROS;224.5
VONDER;PULVERIZADOR ATOMIZADOR E SOPRADOR COSTAL MANUAL 20 LITROS;2279.0
VONDER;PULVERIZADOR BOMBA COSTAL VENENO AGRICOLA MANUAL 20 LITROS;197.0
VONDER;PULVERIZADOR BORRIFADOR COSTAL MANUAL AGRÍCOLA 20L VONDER;233.5
VONDER;PULVERIZADOR COSTAL 2 EM 1 MANUAL OU BATERIA 18 LTS VONDER;671.0
VONDER;PULVERIZADOR COSTAL AGRÍCOLA MANUAL 20 LITROS PROFISSIONAL ;265.5
VONDER;PULVERIZADOR COSTAL MANUAL 20 LITROS BOMBA AGRÍCOLA GALÃO;179.0
VONDER;PULVERIZADOR COSTAL MANUAL 20 LTS ALAVANCA REVERSÍVEL VONDER;229.0
VONDER;PULVERIZADOR COSTAL MANUAL 20L BOMBA VENENO JATO REGULÁVEL;233.0
VONDER;PULVERIZADOR COSTAL MANUAL AGRICOLA COM ALÇA 5 LITROS VONDER;139.0
VONDER;PULVERIZADOR COSTAL MANUAL BOMBA DE VENENO 20 LITROS VONDER;230.0
VONDER;PULVERIZADOR MANUAL COSTAL TANQUE 20L PC 020 VONDER;222.5
VONDER;PULVERIZADOR VENENO BOMBA MANUAL LATERAL COSTAL 12 LITROS;311.0
VULCAN;PULVERIZADOR COSTAL MANUAL 15 LITROS AX-VP15L VULCAN;279.0
VULCAN;PULVERIZADOR COSTAL MANUAL 20 LITROS LX VP20L VULCAN TRENT;249.0
VULCAN;PULVERIZADOR COSTAL MANUAL 20 LITROS VP20L VULCAN COR LARANJA;225.0
VULCAN;PULVERIZADOR COSTAL VENENO AGRÍCOLA MANUAL 20 LITROS;213.0
WORKER;KIT PULVERIZADOR COSTAL MANUAL 3 LITROS WORKER 3L BORRIFADOR;194.0
WORKER;PULVERIZADOR 16L COSTAL 2 EM 1 MANUAL/BATERIA BIVOLT WORKER ;353.0
WORKER;PULVERIZADOR COSTAL A BATERIA E MANUAL WORKER 20 LITROS PW2;449.0
WORKER;PULVERIZADOR COSTAL BOMBA MANUAL 20 L VENENO 4 BICOS WORKER;185.0
WORKER;PULVERIZADOR COSTAL ELÉTRICO E MANUAL BOMBA DE VENENO 16L;473.0
WORKER;PULVERIZADOR COSTAL MANUAL AGRÍCOLA 15 LITROS WORKER;219.5
WORKER;PULVERIZADOR COSTAL MANUAL E A BATERIA 16L WORKER - 704580;429.0
WORKER;PULVERIZADOR COSTAL MANUAL E ELETRICO A BATERIA 16LITROS ;494.0
WORKER;PULVERIZADOR MANUAL COSTAL 20 LITROS WORKER BOMBA DE VENENO;269.5
WORKER;PULVERIZADOR MANUAL COSTAL 3L WORKER PLANTAS BORRIFADOR HORT;120.0
WORKER;PULVERIZADOR PLÁSTICO COSTAL MANUAL 12L WORKER - 977144;200.0
